chr,chromStart,chromEnd,peak_length,strand,ModLog2FC_treated,ModLog2FC_control,DiffModLog2FC,pvalue,padj,Annotation,transcriptID,geneID,gene_chr,gene_start,gene_end,geneName,Description,GO,KEGG
NC_051358.1,573236,573786,551,+,2.35,1.37,0.98,0.01,0.06,UTR3,XM_038011403.1,101742469,NC_051358.1,564237,575379,LOC101742469,ephrin type-B receptor 1-B [Bombyx mandarina],GO:0004709(MAP kinase kinase kinase activity);GO:0004713(protein tyrosine kinase activity);GO:0004714(transmembrane receptor protein tyrosine kinase activity);GO:0004888(transmembrane signaling receptor activity);GO:0005005(transmembrane-ephrin receptor activity);GO:0005524(ATP binding);GO:0005737(cytoplasm);GO:0005887(integral component of plasma membrane);GO:0006468(protein phosphorylation);GO:0007275(multicellular organism development);GO:0007422(peripheral nervous system development);GO:0009968(negative regulation of signal transduction);GO:0010906(regulation of glucose metabolic process);GO:0016319(mushroom body development);GO:0030154(cell differentiation);GO:0031434(mitogen-activated protein kinase kinase binding);GO:0033674(positive regulation of kinase activity);GO:0035011(melanotic encapsulation of foreign target);GO:0043005(neuron projection);GO:0043066(negative regulation of apoptotic process);GO:0043235(receptor complex);GO:0043410(positive regulation of MAPK cascade);GO:0046777(protein autophosphorylation);GO:0048013(ephrin receptor signaling pathway);GO:0070374(positive regulation of ERK1 and ERK2 cascade),NA
NC_051358.1,1332918,1334066,1149,+,1.69,2.41,-0.72,0.02,0.11,UTR3,XM_004932738.4,101744149,NC_051358.1,1332844,1338152,LOC101744149,uncharacterized protein LOC110379661 isoform X2 [Helicoverpa armigera],NA,NA
NC_051358.1,1466322,1469690,3369,+,2.48,1.85,0.63,0.00,0.01,UTR3,XM_004932740.4,101744433,NC_051358.1,1448683,1471618,LOC101744433,transcriptional repressor CTCF [Bombyx mori],"GO:0000976(transcription regulatory region sequence-specific DNA binding);GO:0005515(protein binding);GO:0005634(nucleus);GO:0006349(regulation of gene expression by genetic imprinting);GO:0007379(segment specification);GO:0035075(response to ecdysone);GO:0043007(maintenance of rDNA);GO:0043035(chromatin insulator sequence binding);GO:0043565(sequence-specific DNA binding);GO:0045892(negative regulation of transcription, DNA-templated)",NA
NC_051358.1,1920652,1922744,2093,+,1.45,2.56,-1.11,0.03,0.15,exonic,XM_012696003.3,105841232,NC_051358.1,1906333,1941864,LOC105841232,uncharacterized protein LOC114247211 isoform X2 [Bombyx mandarina],GO:0003677(DNA binding);GO:0005700(polytene chromosome);GO:0005719(nuclear euchromatin);GO:0035098(ESC/E(Z) complex);GO:0061085(regulation of histone H3-K27 methylation),NA
NC_051358.1,1991966,1992066,101,+,2.67,0.58,2.09,0.05,0.19,UTR3,XM_038012602.1,101745262,NC_051358.1,1982033,1995179,LOC101745262,quinone oxidoreductase [Bombyx mori],GO:0001666(response to hypoxia);GO:0016491(oxidoreductase activity);GO:0030431(sleep);GO:0071361(cellular response to ethanol),NA
NC_051358.1,2312607,2312851,245,+,1.19,2.81,-1.62,0.03,0.15,UTR3,XM_012696066.3,101745928,NC_051358.1,2293325,2312851,LOC101745928,protein RCC2 homolog [Bombyx mori],GO:0034260(negative regulation of GTPase activity),NA
NC_051358.1,2388905,2393578,4674,+,2.44,1.21,1.23,0.03,0.15,exonic,XM_021352371.2,101742566,NC_051358.1,2315501,2398970,LOC101742566,F-actin-monooxygenase Mical isoform X4 [Bombyx mandarina],"GO:0003779(actin binding);GO:0005829(cytosol);GO:0005886(plasma membrane);GO:0007015(actin filament organization);GO:0007411(axon guidance);GO:0016322(neuron remodeling);GO:0016709(oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen);GO:0030042(actin filament depolymerization);GO:0030047(actin modification);GO:0030240(skeletal muscle thin filament assembly);GO:0043195(terminal bouton);GO:0045214(sarcomere organization);GO:0048813(dendrite morphogenesis);GO:0055114(oxidation-reduction process);GO:0060386(synapse assembly involved in innervation);GO:0071949(FAD binding);GO:1904799(regulation of neuron remodeling)",NA
NC_051358.1,2508079,2508277,199,+,1.48,0.25,1.23,0.04,0.19,UTR3,XM_038021696.1,101746452,NC_051358.1,2483628,2508277,LOC101746452,SET and MYND domain-containing protein 4 [Bombyx mori],NA,NA
NC_051358.1,3193160,3193710,551,+,1.97,0.71,1.26,0.00,0.01,UTR3,XM_004932771.4,101736593,NC_051358.1,3191779,3197940,LOC101736593,uncharacterized protein LOC101736593 [Bombyx mori],NA,NA
NC_051358.1,4991910,4992010,101,+,0.44,1.97,-1.52,0.03,0.14,ncRNA_exonic,XR_002431555.2,110386360,NC_051358.1,4989160,4992621,LOC110386360,NA,NA,NA
